Time,AccelX,AccelY,AccelZ
5758,1.00,0.06,-0.35
5772,1.00,0.06,-0.35
5784,1.00,0.06,-0.35
5798,1.00,0.06,-0.35
5812,1.00,0.07,-0.35
5823,1.00,0.06,-0.37
5835,0.98,0.06,-0.35
5849,1.00,0.06,-0.37
5860,1.00,0.07,-0.37
5875,1.00,0.06,-0.35
5886,1.00,0.06,-0.35
5901,1.00,0.07,-0.35
5912,1.02,0.07,-0.35
5926,1.00,0.06,-0.35
5939,1.00,0.06,-0.35
5950,1.02,0.07,-0.35
5962,1.00,0.06,-0.37
5973,1.00,0.04,-0.37
5985,0.98,0.06,-0.35
5998,1.00,0.06,-0.35
6010,1.02,0.07,-0.37
6022,1.00,0.06,-0.37
6034,1.00,0.06,-0.35
6045,1.00,0.06,-0.35
6057,1.02,0.06,-0.37
6068,1.00,0.06,-0.35
6080,1.00,0.06,-0.37
6091,1.02,0.06,-0.35
6103,1.02,0.06,-0.37
6117,1.00,0.06,-0.35
6128,1.00,0.07,-0.37
6143,1.00,0.06,-0.37
6154,1.00,0.06,-0.39
6169,1.02,0.06,-0.37
6182,1.02,0.06,-0.35
6193,1.00,0.06,-0.35
6205,1.00,0.04,-0.35
6219,1.00,0.06,-0.35
6231,1.00,0.04,-0.35
6245,1.02,0.07,-0.35
6256,1.02,0.06,-0.35
6271,1.00,0.06,-0.37
6283,1.00,0.07,-0.35
6295,0.98,0.01,-0.39
6307,1.00,0.10,-0.39
6321,1.02,0.04,-0.35
6333,1.02,0.07,-0.34
6347,1.02,0.07,-0.37
6364,0.98,0.06,-0.35
6379,1.00,0.06,-0.34
6391,1.02,0.06,-0.35
6402,1.02,0.06,-0.35
6414,1.00,0.07,-0.35
6428,1.00,0.06,-0.35
6440,1.00,0.06,-0.35
6451,1.00,0.06,-0.34
6463,1.02,0.07,-0.35
6474,1.00,0.06,-0.35
6489,1.02,0.07,-0.35
6500,1.02,0.07,-0.34
6512,1.00,0.06,-0.34
6523,1.00,0.06,-0.35
6535,1.02,0.07,-0.35
6549,1.02,0.06,-0.34
6561,1.00,0.07,-0.35
6577,1.02,0.06,-0.35
6588,1.00,0.06,-0.34
6600,1.02,0.07,-0.35
6612,1.02,0.06,-0.34
6623,1.02,0.06,-0.34
6635,1.02,0.07,-0.37
6647,1.00,0.06,-0.35
6658,1.02,0.06,-0.37
6670,1.00,0.06,-0.35
6681,1.00,0.06,-0.35
6695,1.00,0.06,-0.37
6707,1.02,0.06,-0.34
6721,1.00,0.06,-0.34
